step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
130	0x1.a888b40000000p-4	0x1.d5f4f40000000p+1	0x1.70f1340000000p+1	0x1.1ccfd00000000p+1	0x1.c2c5e80000000p+10
131	0x1.8fea440000000p-4	0x1.1e97ec0000000p+1	0x1.db15a40000000p+0	0x1.2792fa0000000p+0	0x1.c2c5e80000000p+10
132	0x1.5409560000000p-4	0x1.3e98000000000p+5	0x1.e505860000000p+4	0x1.9d0ae80000000p+4	0x1.c2c5e80000000p+10
133	0x1.94a9060000000p-4	0x1.117c980000000p+6	0x1.9dd4de0000000p+5	0x1.6586960000000p+5	0x1.c2c5e80000000p+10
134	0x1.901d920000000p-3	0x1.2ee62a0000000p+6	0x1.d970860000000p+5	0x1.79ce580000000p+5	0x1.c2c5e80000000p+10
135	0x1.1596ec0000000p-4	0x1.b54a480000000p+1	0x1.5901160000000p+1	0x1.0994320000000p+1	0x1.c2c5ea0000000p+10
136	0x1.2dee6e0000000p-4	0x1.6d7ce00000000p+3	0x1.0f79ea0000000p+3	0x1.e81dae0000000p+2	0x1.c2c5e80000000p+10
137	0x1.7b16620000000p-4	0x1.2fb1100000000p+2	0x1.e115180000000p+1	0x1.6f00dc0000000p+1	0x1.c2c5e80000000p+10
138	0x1.8646240000000p-4	0x1.f09f880000000p+3	0x1.8448360000000p+3	0x1.3516bc0000000p+3	0x1.c2c5ea0000000p+10
139	0x1.cff1fe0000000p-5	0x1.1aa2040000000p+2	0x1.c24b9a0000000p+1	0x1.51ffce0000000p+1	0x1.c2c5ea0000000p+10
140	0x1.7064de0000000p-4	0x1.22b3680000000p+2	0x1.d45a500000000p+1	0x1.521d820000000p+1	0x1.c2c5e80000000p+10
141	0x1.786e5a0000000p-4	0x1.4029600000000p+1	0x1.07cbf40000000p+1	0x1.464c100000000p+0	0x1.c2c5e80000000p+10
142	0x1.6cba3e0000000p-4	0x1.2a59500000000p+2	0x1.c874aa0000000p+1	0x1.7c1f320000000p+1	0x1.c2c5e80000000p+10
143	0x1.09380a0000000p-4	0x1.99a6240000000p+1	0x1.47338e0000000p+1	0x1.e8c1f00000000p+0	0x1.c2c5e80000000p+10
144	0x1.ad80440000000p-5	0x1.101a180000000p+2	0x1.a487840000000p+1	0x1.573f3e0000000p+1	0x1.c2c5e80000000p+10
145	0x1.257fae0000000p-4	0x1.c692380000000p+1	0x1.6b35320000000p+1	0x1.0a65be0000000p+1	0x1.c2c5e80000000p+10
146	0x1.0db69e0000000p-4	0x1.0d8b660000000p+4	0x1.9b64d80000000p+3	0x1.5bf4a40000000p+3	0x1.c2c5e80000000p+10
147	0x1.455ace0000000p-3	0x1.25530e0000000p+7	0x1.c15be60000000p+6	0x1.78ec600000000p+6	0x1.c2c5e80000000p+10
148	0x1.30ecf20000000p-4	0x1.0820ba0000000p+2	0x1.8b8bd80000000p+1	0x1.5aee220000000p+1	0x1.c2c5e80000000p+10
149	0x1.2a46e80000000p-4	0x1.f541460000000p+2	0x1.791f900000000p+2	0x1.4928340000000p+2	0x1.c2c5e80000000p+10
150	0x1.5614140000000p-4	0x1.a3850e0000000p+3	0x1.41dae80000000p+3	0x1.0c853c0000000p+3	0x1.c2c5e80000000p+10
151	0x1.7aa0560000000p-5	0x1.18f9bc0000000p+2	0x1.b950700000000p+1	0x1.59a1fc0000000p+1	0x1.c2c5e80000000p+10
152	0x1.1f30980000000p-4	0x1.87e84c0000000p+2	0x1.2cdd2e0000000p+2	0x1.f4040a0000000p+1	0x1.c2c5e80000000p+10
153	0x1.fae1940000000p-5	0x1.439d5a0000000p+2	0x1.e2c84e0000000p+1	0x1.acf6240000000p+1	0x1.c2c5e80000000p+10
154	0x1.043da60000000p-4	0x1.da5ac20000000p+2	0x1.679ab00000000p+2	0x1.3393760000000p+2	0x1.c2c5e80000000p+10
155	0x1.e4440e0000000p-5	0x1.229a1e0000000p+2	0x1.b7e39c0000000p+1	0x1.796ddc0000000p+1	0x1.c2c5e80000000p+10
156	0x1.53917e0000000p-4	0x1.7194da0000000p+2	0x1.1330de0000000p+2	0x1.eb6fe60000000p+1	0x1.c2c5ea0000000p+10
157	0x1.ef83e60000000p-4	0x1.c9ab1a0000000p+1	0x1.89ae6e0000000p+1	0x1.9085a80000000p+0	0x1.c2c5ea0000000p+10
158	0x1.1c30d20000000p-4	0x1.1ba6800000000p+2	0x1.bf5e740000000p+1	0x1.5a2bd20000000p+1	0x1.c2c5ea0000000p+10
159	0x1.a1d9540000000p-4	0x1.bf6e880000000p+2	0x1.6e00740000000p+2	0x1.fe1fce0000000p+1	0x1.c2c5ea0000000p+10
160	0x1.17df140000000p-4	0x1.6c04300000000p+3	0x1.23a8f00000000p+3	0x1.b1b94a0000000p+2	0x1.c2c5ea0000000p+10
161	0x1.ad44ce0000000p-5	0x1.2b44080000000p+1	0x1.df45740000000p+0	0x1.603c1e0000000p+0	0x1.c2c5ea0000000p+10
162	0x1.ab74000000000p-4	0x1.22aa800000000p+2	0x1.c5f6e80000000p+1	0x1.6181f60000000p+1	0x1.c2c5ea0000000p+10
163	0x1.3f178e0000000p-4	0x1.417a7a0000000p+1	0x1.009c820000000p+1	0x1.788f040000000p+0	0x1.c2c5ea0000000p+10
164	0x1.0fe8be0000000p-4	0x1.e07df60000000p+1	0x1.735e220000000p+1	0x1.2e8b940000000p+1	0x1.c2c5ea0000000p+10
165	0x1.5f931e0000000p-4	0x1.577cbc0000000p+3	0x1.00ed000000000p+3	0x1.c535ae0000000p+2	0x1.c2c5ea0000000p+10
166	0x1.1eba8e0000000p-4	0x1.83e8fa0000000p+2	0x1.2896aa0000000p+2	0x1.f178e20000000p+1	0x1.c2c5ea0000000p+10
167	0x1.16c9920000000p-3	0x1.8dc6a00000000p+5	0x1.47870c0000000p+5	0x1.c3535c0000000p+4	0x1.c2c5ea0000000p+10
168	0x1.2d9e6e0000000p-4	0x1.821e460000000p+1	0x1.3ca8de0000000p+1	0x1.b2c65a0000000p+0	0x1.c2c5ea0000000p+10
169	0x1.1d33a60000000p-4	0x1.bfa7860000000p+4	0x1.5485100000000p+4	0x1.22699e0000000p+4	0x1.c2c5ea0000000p+10
170	0x1.3bd2f60000000p-4	0x1.b0a02a0000000p+1	0x1.5ae16c0000000p+1	0x1.fcedf60000000p+0	0x1.c2c5ea0000000p+10
171	0x1.1b06cc0000000p-4	0x1.167fbc0000000p+4	0x1.ab5d9c0000000p+3	0x1.64ee200000000p+3	0x1.c2c5ea0000000p+10
172	0x1.2e32be0000000p-4	0x1.a31bde0000000p+1	0x1.4b0a600000000p+1	0x1.f4deb60000000p+0	0x1.c2c5ea0000000p+10
173	0x1.21b8360000000p-4	0x1.5387560000000p+5	0x1.07139c0000000p+5	0x1.ad15dc0000000p+4	0x1.c2c5ea0000000p+10
174	0x1.168f460000000p-4	0x1.0ce3aa0000000p+2	0x1.a082c80000000p+1	0x1.521c140000000p+1	0x1.c2c5ea0000000p+10
175	0x1.820bb60000000p-4	0x1.9029a40000000p+5	0x1.399fc20000000p+5	0x1.f0e71a0000000p+4	0x1.c2c5ea0000000p+10
176	0x1.f59be60000000p-5	0x1.742f060000000p+3	0x1.1fe4320000000p+3	0x1.d70bf40000000p+2	0x1.c2c5ea0000000p+10
177	0x1.c4e28a0000000p-4	0x1.cd63620000000p+3	0x1.6fdd920000000p+3	0x1.13568c0000000p+3	0x1.c2c5ea0000000p+10
