step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
140	0x1.6aed960000000p-4	0x1.3fb6a80000000p+3	0x1.e0149c0000000p+2	0x1.a442da0000000p+2	0x1.c2c5e80000000p+10
141	0x1.22a0c80000000p-4	0x1.1e585e0000000p+1	0x1.c3da540000000p+0	0x1.51867e0000000p+0	0x1.c2c5e80000000p+10
142	0x1.44288a0000000p-4	0x1.030f0a0000000p+3	0x1.87960c0000000p+2	0x1.51df100000000p+2	0x1.c2c5e80000000p+10
143	0x1.2a99020000000p-4	0x1.a0ec800000000p+2	0x1.3ca40a0000000p+2	0x1.0e6adc0000000p+2	0x1.c2c5e80000000p+10
144	0x1.d251f40000000p-5	0x1.5c8d7c0000000p+2	0x1.09c7e20000000p+2	0x1.c19cd80000000p+1	0x1.c2c5e80000000p+10
145	0x1.2862c00000000p-4	0x1.7bdc520000000p+1	0x1.3579500000000p+1	0x1.a955160000000p+0	0x1.c2c5e80000000p+10
146	0x1.4903ce0000000p-4	0x1.39ce780000000p+2	0x1.e960400000000p+1	0x1.8653740000000p+1	0x1.c2c5e80000000p+10
147	0x1.08490e0000000p-4	0x1.35cc420000000p+2	0x1.f35e2a0000000p+1	0x1.6aabfc0000000p+1	0x1.c2c5e80000000p+10
148	0x1.0ac9ce0000000p-4	0x1.c563bc0000000p+1	0x1.7516e80000000p+1	0x1.f795260000000p+0	0x1.c2c5e80000000p+10
149	0x1.ac674e0000000p-4	0x1.f455a80000000p+2	0x1.7876880000000p+2	0x1.48713e0000000p+2	0x1.c2c5e80000000p+10
150	0x1.5577460000000p-4	0x1.32777e0000000p+2	0x1.e8112c0000000p+1	0x1.6fe05a0000000p+1	0x1.c2c5e80000000p+10
151	0x1.1114da0000000p-4	0x1.484a680000000p+1	0x1.15e9200000000p+1	0x1.52742e0000000p+0	0x1.c2c5e80000000p+10
152	0x1.21d3b60000000p-4	0x1.ba6c7e0000000p+4	0x1.5e0c760000000p+4	0x1.0e5e360000000p+4	0x1.c2c5e80000000p+10
153	0x1.d1356e0000000p-5	0x1.5ecf6c0000000p+1	0x1.1599b80000000p+1	0x1.a7883e0000000p+0	0x1.c2c5e80000000p+10
154	0x1.6530be0000000p-4	0x1.80b5600000000p+2	0x1.35ed340000000p+2	0x1.c536b20000000p+1	0x1.c2c5e80000000p+10
155	0x1.bc4e6a0000000p-4	0x1.51d6780000000p+2	0x1.0bfc240000000p+2	0x1.93a5240000000p+1	0x1.c2c5e80000000p+10
156	0x1.12eb120000000p-4	0x1.106fd20000000p+1	0x1.bdba1a0000000p+0	0x1.23611e0000000p+0	0x1.c2c5e80000000p+10
157	0x1.d138600000000p-4	0x1.9c7bb20000000p+2	0x1.4c5f600000000p+2	0x1.d07ea40000000p+1	0x1.c2c5e80000000p+10
158	0x1.012b0e0000000p-4	0x1.a1367e0000000p+4	0x1.4501680000000p+4	0x1.05471e0000000p+4	0x1.c2c5e80000000p+10
159	0x1.151af40000000p-4	0x1.112aae0000000p+3	0x1.c0ce7c0000000p+2	0x1.361a580000000p+2	0x1.c2c5e80000000p+10
160	0x1.2caef80000000p-4	0x1.88c84c0000000p+1	0x1.45bd580000000p+1	0x1.aa90580000000p+0	0x1.c2c5e80000000p+10
161	0x1.0e1a340000000p-4	0x1.3b401e0000000p+1	0x1.02eb420000000p+1	0x1.5e62d80000000p+0	0x1.c2c5e80000000p+10
162	0x1.6517e40000000p-4	0x1.4e028a0000000p+1	0x1.0b0efa0000000p+1	0x1.7af09e0000000p+0	0x1.c2c5e80000000p+10
163	0x1.26a6ac0000000p-4	0x1.124ba80000000p+2	0x1.949f660000000p+1	0x1.6fccd00000000p+1	0x1.c2c5e80000000p+10
164	0x1.95ba3e0000000p-5	0x1.1030740000000p+1	0x1.cfada60000000p+0	0x1.13a9c60000000p+0	0x1.c2c5e80000000p+10
165	0x1.0893500000000p-4	0x1.e549860000000p+0	0x1.8f69040000000p+0	0x1.0935540000000p+0	0x1.c2c5e80000000p+10
166	0x1.17c2e20000000p-4	0x1.4f90920000000p+2	0x1.081d7a0000000p+2	0x1.9af4ba0000000p+1	0x1.c2c5e80000000p+10
167	0x1.8bc9b60000000p-4	0x1.043e340000000p+2	0x1.9806660000000p+1	0x1.3c31320000000p+1	0x1.c2c5e80000000p+10
168	0x1.5320f60000000p-4	0x1.51cc7e0000000p+2	0x1.1a09ba0000000p+2	0x1.7166800000000p+1	0x1.c2c5e80000000p+10
169	0x1.c809b40000000p-5	0x1.4e39900000000p+3	0x1.16cbb60000000p+3	0x1.6f31bc0000000p+2	0x1.c2c5e80000000p+10
170	0x1.48d5ce0000000p-5	0x1.018c6a0000000p+1	0x1.a0833a0000000p+0	0x1.2699b60000000p+0	0x1.c2c5e80000000p+10
171	0x1.20149e0000000p-4	0x1.8279e40000000p+1	0x1.4ed4480000000p+1	0x1.794bc00000000p+0	0x1.c2c5e80000000p+10
172	0x1.6c09e80000000p-4	0x1.d426ba0000000p+1	0x1.7b76820000000p+1	0x1.0ce2760000000p+1	0x1.c2c5e80000000p+10
173	0x1.67b8de0000000p-5	0x1.8fe6700000000p+1	0x1.3c64d20000000p+1	0x1.e51f6c0000000p+0	0x1.c2c5e80000000p+10
174	0x1.172bf40000000p-4	0x1.1b7f800000000p+2	0x1.d1524a0000000p+1	0x1.4245180000000p+1	0x1.c2c5e80000000p+10
175	0x1.73122e0000000p-5	0x1.1ecfc40000000p+1	0x1.d11e1c0000000p+0	0x1.4a3ed00000000p+0	0x1.c2c5ea0000000p+10
176	0x1.5df59e0000000p-4	0x1.1dea8e0000000p+2	0x1.df636a0000000p+1	0x1.341cc80000000p+1	0x1.c2c5ea0000000p+10
177	0x1.18f2ae0000000p-4	0x1.2aa44c0000000p+1	0x1.f3c18c0000000p+0	0x1.3af6f00000000p+0	0x1.c2c5ea0000000p+10
178	0x1.bcdb9e0000000p-5	0x1.7534b40000000p+3	0x1.1ce9380000000p+3	0x1.e0f55c0000000p+2	0x1.c2c5ea0000000p+10
