step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
103	0x1.9ec5460000000p-4	0x1.9c90ce0000000p+1	0x1.329c4a0000000p+1	0x1.10c9a00000000p+1	0x1.c2c5e80000000p+10
104	0x1.7ab75e0000000p-4	0x1.b6edce0000000p+1	0x1.4ce2a80000000p+1	0x1.1a8c480000000p+1	0x1.c2c5e60000000p+10
105	0x1.9af2600000000p-4	0x1.2af95a0000000p+1	0x1.dc8de00000000p+0	0x1.5c279a0000000p+0	0x1.c2c5e80000000p+10
106	0x1.9e98600000000p-4	0x1.4422a40000000p+1	0x1.eb26640000000p+0	0x1.9a5df00000000p+0	0x1.c2c5e60000000p+10
107	0x1.e5d5940000000p-4	0x1.b784d40000000p+0	0x1.7432b80000000p+0	0x1.a23b180000000p-1	0x1.c2c5e80000000p+10
108	0x1.562c340000000p-4	0x1.06851a0000000p+1	0x1.a219c20000000p+0	0x1.3868be0000000p+0	0x1.c2c5e80000000p+10
109	0x1.7ac2800000000p-4	0x1.c3fc940000000p+1	0x1.551ce80000000p+1	0x1.273c080000000p+1	0x1.c2c5e80000000p+10
110	0x1.4b24b60000000p-4	0x1.f99c220000000p+0	0x1.7f1c440000000p+0	0x1.44cb640000000p+0	0x1.c2c5e80000000p+10
111	0x1.7a8c5e0000000p-4	0x1.6338f80000000p+0	0x1.283aa60000000p+0	0x1.6f5fb60000000p-1	0x1.c2c5e80000000p+10
112	0x1.92691a0000000p-4	0x1.7fa8ce0000000p+1	0x1.2f8d980000000p+1	0x1.cdebba0000000p+0	0x1.c2c5e80000000p+10
113	0x1.92f6ac0000000p-4	0x1.0282720000000p+2	0x1.8c17040000000p+1	0x1.4ac6c80000000p+1	0x1.c2c5e80000000p+10
114	0x1.62f8400000000p-4	0x1.00364a0000000p+1	0x1.96d6cc0000000p+0	0x1.2f89700000000p+0	0x1.c2c5e80000000p+10
115	0x1.5f6a4c0000000p-4	0x1.1a8c140000000p+0	0x1.dde7180000000p-1	0x1.1195540000000p-1	0x1.c2c5ea0000000p+10
116	0x1.4f09620000000p-4	0x1.26ae960000000p+1	0x1.ca66ba0000000p+0	0x1.6fa0de0000000p+0	0x1.c2c5ea0000000p+10
117	0x1.5c1d2e0000000p-4	0x1.1375fa0000000p+0	0x1.b628f00000000p-1	0x1.32b46c0000000p-1	0x1.c2c5ea0000000p+10
118	0x1.3e697e0000000p-4	0x1.e520100000000p-1	0x1.8e522e0000000p-1	0x1.f51a500000000p-2	0x1.c2c5ea0000000p+10
119	0x1.271ba60000000p-4	0x1.4c93580000000p+1	0x1.f865600000000p+0	0x1.ae7f3c0000000p+0	0x1.c2c5ea0000000p+10
120	0x1.5d09120000000p-4	0x1.139edc0000000p+3	0x1.a4df880000000p+2	0x1.635bf40000000p+2	0x1.c2c5ea0000000p+10
121	0x1.41e1c60000000p-4	0x1.3fef360000000p+2	0x1.fbba0c0000000p+1	0x1.8397880000000p+1	0x1.c2c5ea0000000p+10
122	0x1.3c17b60000000p-4	0x1.86ccf60000000p+1	0x1.3c93020000000p+1	0x1.c7af260000000p+0	0x1.c2c5ea0000000p+10
123	0x1.414bf60000000p-4	0x1.2ad5c60000000p+0	0x1.f2a68e0000000p-1	0x1.39f59c0000000p-1	0x1.c2c5ea0000000p+10
124	0x1.78fb200000000p-4	0x1.012d140000000p+2	0x1.8ca04c0000000p+1	0x1.45969a0000000p+1	0x1.c2c5ea0000000p+10
125	0x1.1c64260000000p-4	0x1.88cd5c0000000p+0	0x1.3cc24c0000000p+0	0x1.ca8ad60000000p-1	0x1.c2c5ea0000000p+10
126	0x1.0377f60000000p-4	0x1.7ae5700000000p+1	0x1.263e9c0000000p+1	0x1.db72300000000p+0	0x1.c2c5ea0000000p+10
127	0x1.5413ee0000000p-4	0x1.ab25820000000p+0	0x1.63c8400000000p+0	0x1.cc30a20000000p-1	0x1.c2c5ea0000000p+10
128	0x1.2508de0000000p-4	0x1.3e62740000000p+1	0x1.0010a00000000p+1	0x1.7895c60000000p+0	0x1.c2c5ea0000000p+10
129	0x1.f8d4c60000000p-5	0x1.dc6e100000000p+1	0x1.82b4b20000000p+1	0x1.146fec0000000p+1	0x1.c2c5ea0000000p+10
130	0x1.10ba5e0000000p-4	0x1.80e68a0000000p+2	0x1.2e138a0000000p+2	0x1.dbede20000000p+1	0x1.c2c5ea0000000p+10
131	0x1.2bc7700000000p-4	0x1.57a1540000000p+2	0x1.0f05440000000p+2	0x1.a52ea60000000p+1	0x1.c2c5ea0000000p+10
132	0x1.e44f6e0000000p-5	0x1.1150760000000p+2	0x1.b36a780000000p+1	0x1.4965260000000p+1	0x1.c2c5ea0000000p+10
133	0x1.f0220e0000000p-5	0x1.61469e0000000p+1	0x1.1749620000000p+1	0x1.ae138a0000000p+0	0x1.c2c5ea0000000p+10
134	0x1.0346820000000p-4	0x1.c2b45c0000000p-1	0x1.82c3000000000p-1	0x1.ac8efa0000000p-2	0x1.c2c5ea0000000p+10
135	0x1.18527a0000000p-4	0x1.a8324a0000000p+0	0x1.64fa860000000p+0	0x1.c4d35c0000000p-1	0x1.c2c5ea0000000p+10
136	0x1.1f81980000000p-4	0x1.3aa0860000000p+1	0x1.dae9d60000000p+0	0x1.99b4840000000p+0	0x1.c2c5ea0000000p+10
137	0x1.f72f6e0000000p-5	0x1.82a62e0000000p+1	0x1.3104720000000p+1	0x1.d9eb220000000p+0	0x1.c2c5ea0000000p+10
138	0x1.e524100000000p-5	0x1.fcdfb00000000p+0	0x1.9d2a9c0000000p+0	0x1.267e4c0000000p+0	0x1.c2c5ea0000000p+10
139	0x1.2fb5ea0000000p-4	0x1.c68c120000000p+0	0x1.75ba500000000p+0	0x1.f60d920000000p-1	0x1.c2c5ea0000000p+10
140	0x1.0061300000000p-4	0x1.a564ba0000000p+0	0x1.45dee80000000p+0	0x1.094e9e0000000p+0	0x1.c2c5ea0000000p+10
141	0x1.0f38900000000p-4	0x1.06f9aa0000000p+1	0x1.a9f0040000000p+0	0x1.32869c0000000p+0	0x1.c2c5ea0000000p+10
142	0x1.0741aa0000000p-4	0x1.4de5560000000p+0	0x1.101dc40000000p+0	0x1.7841980000000p-1	0x1.c2c5ea0000000p+10
143	0x1.d62f8e0000000p-5	0x1.54fd340000000p+2	0x1.08f1780000000p+2	0x1.aca29e0000000p+1	0x1.c2c5ea0000000p+10
144	0x1.27f0380000000p-4	0x1.3026a40000000p+0	0x1.e499f00000000p-1	0x1.5d27260000000p-1	0x1.c2c5ea0000000p+10
145	0x1.1813360000000p-4	0x1.d5c60e0000000p+0	0x1.605bde0000000p+0	0x1.33165c0000000p+0	0x1.c2c5ea0000000p+10
146	0x1.0073340000000p-4	0x1.e4197c0000000p+0	0x1.74877c0000000p+0	0x1.33860a0000000p+0	0x1.c2c5ea0000000p+10
147	0x1.fcf6900000000p-5	0x1.883b7e0000000p+0	0x1.3ad6fe0000000p+0	0x1.cdedd80000000p-1	0x1.c2c5ec0000000p+10
148	0x1.e090ba0000000p-5	0x1.5bc87c0000000p+1	0x1.05ae8a0000000p+1	0x1.c87db80000000p+0	0x1.c2c5ea0000000p+10
149	0x1.2c7f560000000p-4	0x1.f614d20000000p+2	0x1.6c969c0000000p+2	0x1.58f4020000000p+2	0x1.c2c5ea0000000p+10
150	0x1.032e860000000p-4	0x1.15ba4e0000000p+0	0x1.ce7b3a0000000p-1	0x1.288d480000000p-1	0x1.c2c5ec0000000p+10
151	0x1.b799960000000p-5	0x1.c085b00000000p+0	0x1.6426f60000000p+0	0x1.0ebe4c0000000p+0	0x1.c2c5ec0000000p+10
152	0x1.ebcb200000000p-5	0x1.0d42f20000000p+1	0x1.9233320000000p+0	0x1.63b0760000000p+0	0x1.c2c5ec0000000p+10
153	0x1.8afba20000000p-5	0x1.aa612e0000000p+0	0x1.73d7680000000p+0	0x1.9602ec0000000p-1	0x1.c2c5ec0000000p+10
154	0x1.cb18360000000p-5	0x1.b0e8220000000p+0	0x1.41b8480000000p+0	0x1.1ff1440000000p+0	0x1.c2c5ec0000000p+10
155	0x1.daaf5a0000000p-5	0x1.1a2c9c0000000p+0	0x1.ca4e020000000p-1	0x1.4307260000000p-1	0x1.c2c5ec0000000p+10
156	0x1.f665340000000p-5	0x1.cdae460000000p+0	0x1.6ddde40000000p+0	0x1.1603820000000p+0	0x1.c2c5ec0000000p+10
157	0x1.17671a0000000p-4	0x1.5cc83e0000000p+2	0x1.0724040000000p+2	0x1.c95a0c0000000p+1	0x1.c2c5ec0000000p+10
158	0x1.c4fc1a0000000p-5	0x1.3890c60000000p+0	0x1.0352920000000p+0	0x1.5497340000000p-1	0x1.c2c5ec0000000p+10
159	0x1.d603d40000000p-5	0x1.9019600000000p+0	0x1.36f8fc0000000p+0	0x1.ec61540000000p-1	0x1.c2c5ec0000000p+10
160	0x1.cd0cc40000000p-5	0x1.20340a0000000p+0	0x1.ed63200000000p-1	0x1.1add7c0000000p-1	0x1.c2c5ec0000000p+10
161	0x1.eb22540000000p-5	0x1.191fa40000000p+1	0x1.a0d9e60000000p+0	0x1.785ca60000000p+0	0x1.c2c5ec0000000p+10
162	0x1.def6940000000p-5	0x1.2869140000000p+2	0x1.b1ede60000000p+1	0x1.937df00000000p+1	0x1.c2c5ec0000000p+10
163	0x1.f2dbfe0000000p-5	0x1.04bcee0000000p+1	0x1.a17c1a0000000p+0	0x1.35d4800000000p+0	0x1.c2c5ec0000000p+10
164	0x1.88ab740000000p-5	0x1.300e000000000p-1	0x1.0438280000000p-1	0x1.249a940000000p-2	0x1.c2c5ec0000000p+10
165	0x1.e072f00000000p-5	0x1.fbb8480000000p-1	0x1.a19b980000000p-1	0x1.1920dc0000000p-1	0x1.c2c5ec0000000p+10
166	0x1.eb04000000000p-5	0x1.ee5ccc0000000p+1	0x1.8cff3e0000000p+1	0x1.2582b20000000p+1	0x1.c2c5ee0000000p+10
167	0x1.a395fa0000000p-5	0x1.af17940000000p+0	0x1.5325ee0000000p+0	0x1.086d2e0000000p+0	0x1.c2c5ee0000000p+10
168	0x1.0acf400000000p-4	0x1.f8ad740000000p-1	0x1.9c92f00000000p-1	0x1.1783c60000000p-1	0x1.c2c5ee0000000p+10
169	0x1.82b7340000000p-5	0x1.028a360000000p+1	0x1.9f2bd40000000p+0	0x1.32929a0000000p+0	0x1.c2c5ee0000000p+10
170	0x1.c01e5a0000000p-5	0x1.22c4320000000p+0	0x1.d358680000000p-1	0x1.54abf40000000p-1	0x1.c2c5ee0000000p+10
171	0x1.c9af800000000p-5	0x1.8fdf860000000p+0	0x1.4056b00000000p+0	0x1.da61aa0000000p-1	0x1.c2c5ee0000000p+10
172	0x1.8ca53e0000000p-5	0x1.63618e0000000p+0	0x1.12f1540000000p+0	0x1.be1edc0000000p-1	0x1.c2c5ee0000000p+10
173	0x1.aa92460000000p-5	0x1.474e380000000p+1	0x1.011b640000000p+1	0x1.9432ec0000000p+0	0x1.c2c5ee0000000p+10
174	0x1.c472c00000000p-5	0x1.59b1bc0000000p+0	0x1.0a73940000000p+0	0x1.b327420000000p-1	0x1.c2c5ee0000000p+10
175	0x1.eed3340000000p-5	0x1.630e800000000p+0	0x1.1a79740000000p+0	0x1.a55e520000000p-1	0x1.c2c5ee0000000p+10
176	0x1.bb11640000000p-5	0x1.1ed2f60000000p+1	0x1.cef80a0000000p+0	0x1.4f28240000000p+0	0x1.c2c5ee0000000p+10
177	0x1.bb99600000000p-5	0x1.5fd6020000000p+0	0x1.11194a0000000p+0	0x1.b8227a0000000p-1	0x1.c2c5ee0000000p+10
178	0x1.ca51e40000000p-5	0x1.0eea320000000p+0	0x1.ab57960000000p-1	0x1.47de700000000p-1	0x1.c2c5ee0000000p+10
