step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
155	0x1.1ba40e0000000p-4	0x1.cefc080000000p+1	0x1.7394b00000000p+1	0x1.0f38240000000p+1	0x1.c2c5e80000000p+10
156	0x1.3f30740000000p-4	0x1.a5eba60000000p+2	0x1.436c0c0000000p+2	0x1.0e02bc0000000p+2	0x1.c2c5e80000000p+10
157	0x1.0b3b6a0000000p-2	0x1.61b70e0000000p+8	0x1.0d58e80000000p+8	0x1.ca7d240000000p+7	0x1.c2c5e80000000p+10
158	0x1.58ded60000000p-4	0x1.23fe300000000p+4	0x1.c1f3280000000p+3	0x1.73fb2a0000000p+3	0x1.c2c5e80000000p+10
159	0x1.2547aa0000000p-4	0x1.9eb04c0000000p+4	0x1.4486e40000000p+4	0x1.01f1e00000000p+4	0x1.c2c5e80000000p+10
160	0x1.21bdb00000000p-4	0x1.b050060000000p+4	0x1.5348d20000000p+4	0x1.0ba3e40000000p+4	0x1.c2c5e80000000p+10
161	0x1.21f7840000000p-4	0x1.24d2f40000000p+2	0x1.d113ea0000000p+1	0x1.60e6800000000p+1	0x1.c2c5e80000000p+10
162	0x1.fe914e0000000p-4	0x1.427ae80000000p+6	0x1.fac6060000000p+5	0x1.8eb4240000000p+5	0x1.c2c5e80000000p+10
163	0x1.de59f00000000p-5	0x1.6d79960000000p+1	0x1.1edc880000000p+1	0x1.bc28e40000000p+0	0x1.c2c5e80000000p+10
164	0x1.1930f00000000p-4	0x1.aed0360000000p+1	0x1.5b6ea80000000p+1	0x1.f5a8000000000p+0	0x1.c2c5e80000000p+10
165	0x1.d0c4d60000000p-5	0x1.5157aa0000000p+2	0x1.0e5e320000000p+2	0x1.9117920000000p+1	0x1.c2c5e80000000p+10
166	0x1.8c0a900000000p-5	0x1.b5e09e0000000p+2	0x1.53b6860000000p+2	0x1.13399e0000000p+2	0x1.c2c5e80000000p+10
167	0x1.37f8d60000000p-4	0x1.4634320000000p+2	0x1.0484bc0000000p+2	0x1.85696a0000000p+1	0x1.c2c5e80000000p+10
168	0x1.2f702e0000000p-4	0x1.090eaa0000000p+2	0x1.a5df600000000p+1	0x1.3e7bec0000000p+1	0x1.c2c5e80000000p+10
169	0x1.6edbf60000000p-4	0x1.653d5e0000000p+3	0x1.2433d20000000p+3	0x1.94ff0c0000000p+2	0x1.c2c5e80000000p+10
170	0x1.bb89de0000000p-5	0x1.98ec7e0000000p+1	0x1.3ea03e0000000p+1	0x1.fb0cb80000000p+0	0x1.c2c5e80000000p+10
171	0x1.0443ca0000000p-4	0x1.07146e0000000p+2	0x1.ab90d80000000p+1	0x1.2f5fc40000000p+1	0x1.c2c5e80000000p+10
172	0x1.8a68a20000000p-4	0x1.70e2860000000p+6	0x1.1f3ff60000000p+6	0x1.cea3f00000000p+5	0x1.c2c5e80000000p+10
173	0x1.2da3b60000000p-4	0x1.69af600000000p+3	0x1.1d67900000000p+3	0x1.bb487c0000000p+2	0x1.c2c5e80000000p+10
174	0x1.7125b80000000p-4	0x1.9e52ce0000000p+4	0x1.4458a20000000p+4	0x1.016c580000000p+4	0x1.c2c5e80000000p+10
175	0x1.f9dece0000000p-5	0x1.6283600000000p+4	0x1.1678bc0000000p+4	0x1.b623fa0000000p+3	0x1.c2c5e80000000p+10
176	0x1.da71840000000p-5	0x1.1cae720000000p+3	0x1.ac70cc0000000p+2	0x1.758cd80000000p+2	0x1.c2c5ea0000000p+10
177	0x1.c6de2a0000000p-5	0x1.1089040000000p+2	0x1.b035a00000000p+1	0x1.4a73880000000p+1	0x1.c2c5e80000000p+10
178	0x1.22fa860000000p-4	0x1.11c0de0000000p+2	0x1.addcc20000000p+1	0x1.508c2a0000000p+1	0x1.c2c5e80000000p+10
