step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
120	0x1.3f6e8e0000000p-3	0x1.39aad80000000p+3	0x1.d51b7e0000000p+2	0x1.9e47b20000000p+2	0x1.c2dda60000000p+10
121	0x1.8690180000000p-3	0x1.79da600000000p+4	0x1.074cc00000000p+4	0x1.0e4e4e0000000p+4	0x1.c2dda60000000p+10
122	0x1.1848a40000000p-3	0x1.7957b40000000p+2	0x1.2513e40000000p+2	0x1.d5afbc0000000p+1	0x1.c2dda60000000p+10
123	0x1.9c09f40000000p-4	0x1.56570c0000000p+2	0x1.d098520000000p+1	0x1.f0b3fc0000000p+1	0x1.c2dda60000000p+10
124	0x1.ef7c060000000p-3	0x1.c4ea000000000p+6	0x1.4beaf60000000p+6	0x1.33fa160000000p+6	0x1.c2dda60000000p+10
125	0x1.6aa6760000000p-3	0x1.335aea0000000p+5	0x1.cca4dc0000000p+4	0x1.96daec0000000p+4	0x1.c2dda80000000p+10
126	0x1.0ef6080000000p-3	0x1.73b0560000000p+2	0x1.1116740000000p+2	0x1.f48b800000000p+1	0x1.c2dda80000000p+10
127	0x1.ba7fee0000000p-4	0x1.61a0500000000p+3	0x1.f7beac0000000p+2	0x1.ef6dac0000000p+2	0x1.c2dda80000000p+10
128	0x1.c76f9e0000000p-4	0x1.662d180000000p+2	0x1.1448140000000p+2	0x1.c124c60000000p+1	0x1.c2dda80000000p+10
129	0x1.54d4320000000p-3	0x1.763bd00000000p+6	0x1.13b7880000000p+6	0x1.f9fee60000000p+5	0x1.c2dda80000000p+10
130	0x1.7719440000000p-3	0x1.c405920000000p+5	0x1.47b3180000000p+5	0x1.3739f20000000p+5	0x1.c2dda80000000p+10
131	0x1.372ab60000000p-3	0x1.58571a0000000p+3	0x1.f1f00e0000000p+2	0x1.d8975e0000000p+2	0x1.c2dda80000000p+10
132	0x1.2b2a5a0000000p-3	0x1.1e668e0000000p+3	0x1.9f05c00000000p+2	0x1.89347e0000000p+2	0x1.c2dda80000000p+10
133	0x1.4337ba0000000p-3	0x1.c21e220000000p+2	0x1.4f6d1a0000000p+2	0x1.242e3c0000000p+2	0x1.c2dda80000000p+10
