2026/08/26 21:07:40.453, 0, 0 %, 0 %, 1017 MiB, 24.68 W
2026/08/26 21:07:40.454, 1, 0 %, 0 %, 9 MiB, 29.08 W
2026/08/26 21:07:40.954, 0, 0 %, 0 %, 1017 MiB, 24.61 W
2026/08/26 21:07:40.954, 1, 0 %, 0 %, 9 MiB, 29.05 W
2026/08/26 21:07:41.454, 0, 0 %, 0 %, 1017 MiB, 24.61 W
2026/08/26 21:07:41.454, 1, 0 %, 0 %, 9 MiB, 29.05 W
2026/08/26 21:07:41.955, 0, 0 %, 0 %, 1017 MiB, 24.67 W
2026/08/26 21:07:41.955, 1, 0 %, 0 %, 9 MiB, 28.98 W
2026/08/26 21:07:42.455, 0, 0 %, 0 %, 1017 MiB, 24.67 W
2026/08/26 21:07:42.455, 1, 0 %, 0 %, 9 MiB, 28.98 W
2026/08/26 21:07:42.956, 0, 0 %, 0 %, 1017 MiB, 24.66 W
2026/08/26 21:07:42.956, 1, 0 %, 0 %, 9 MiB, 28.95 W
2026/08/26 21:07:43.456, 0, 0 %, 0 %, 1017 MiB, 24.66 W
2026/08/26 21:07:43.456, 1, 0 %, 0 %, 9 MiB, 28.95 W
2026/08/26 21:07:43.957, 0, 0 %, 0 %, 1017 MiB, 24.48 W
2026/08/26 21:07:43.957, 1, 0 %, 0 %, 9 MiB, 28.91 W
2026/08/26 21:07:44.457, 0, 0 %, 0 %, 1017 MiB, 24.48 W
2026/08/26 21:07:44.457, 1, 0 %, 0 %, 9 MiB, 28.91 W
2026/08/26 21:07:44.958, 0, 0 %, 0 %, 1017 MiB, 24.47 W
2026/08/26 21:07:44.958, 1, 0 %, 0 %, 9 MiB, 28.93 W
2026/08/26 21:07:45.458, 0, 0 %, 0 %, 1017 MiB, 24.47 W
2026/08/26 21:07:45.458, 1, 0 %, 0 %, 9 MiB, 28.93 W
2026/08/26 21:07:45.958, 0, 0 %, 0 %, 1017 MiB, 24.43 W
2026/08/26 21:07:45.959, 1, 0 %, 0 %, 9 MiB, 28.96 W
2026/08/26 21:07:46.459, 0, 0 %, 0 %, 1017 MiB, 24.43 W
2026/08/26 21:07:46.459, 1, 0 %, 0 %, 9 MiB, 28.96 W
2026/08/26 21:07:46.959, 0, 0 %, 0 %, 1017 MiB, 24.33 W
2026/08/26 21:07:46.960, 1, 0 %, 0 %, 9 MiB, 28.93 W
2026/08/26 21:07:47.460, 0, 0 %, 0 %, 1017 MiB, 24.33 W
2026/08/26 21:07:47.460, 1, 0 %, 0 %, 9 MiB, 28.93 W
2026/08/26 21:07:47.960, 0, 0 %, 0 %, 1017 MiB, 24.27 W
2026/08/26 21:07:47.961, 1, 0 %, 0 %, 9 MiB, 28.89 W
2026/08/26 21:07:48.461, 0, 0 %, 0 %, 1017 MiB, 24.27 W
2026/08/26 21:07:48.461, 1, 0 %, 0 %, 9 MiB, 28.89 W
2026/08/26 21:07:48.961, 0, 0 %, 0 %, 1017 MiB, 24.22 W
2026/08/26 21:07:48.962, 1, 0 %, 0 %, 9 MiB, 28.79 W
2026/08/26 21:07:49.462, 0, 0 %, 0 %, 1017 MiB, 24.22 W
2026/08/26 21:07:49.462, 1, 0 %, 0 %, 9 MiB, 28.79 W
2026/08/26 21:07:49.962, 0, 0 %, 0 %, 1017 MiB, 24.25 W
2026/08/26 21:07:49.962, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:07:50.463, 0, 0 %, 0 %, 1017 MiB, 24.25 W
2026/08/26 21:07:50.463, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:07:50.963, 0, 0 %, 0 %, 1017 MiB, 24.26 W
2026/08/26 21:07:50.963, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:07:51.464, 0, 0 %, 0 %, 1017 MiB, 24.26 W
2026/08/26 21:07:51.464, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:07:51.964, 0, 0 %, 0 %, 1017 MiB, 24.26 W
2026/08/26 21:07:51.964, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:52.465, 0, 0 %, 0 %, 1017 MiB, 24.26 W
2026/08/26 21:07:52.465, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:52.965, 0, 0 %, 0 %, 1017 MiB, 24.29 W
2026/08/26 21:07:52.965, 1, 0 %, 0 %, 9 MiB, 28.84 W
2026/08/26 21:07:53.465, 0, 0 %, 0 %, 1017 MiB, 24.29 W
2026/08/26 21:07:53.466, 1, 0 %, 0 %, 9 MiB, 28.84 W
2026/08/26 21:07:53.966, 0, 0 %, 0 %, 1017 MiB, 24.18 W
2026/08/26 21:07:53.966, 1, 0 %, 0 %, 9 MiB, 28.84 W
2026/08/26 21:07:54.466, 0, 0 %, 0 %, 1017 MiB, 24.18 W
2026/08/26 21:07:54.467, 1, 0 %, 0 %, 9 MiB, 28.84 W
2026/08/26 21:07:54.967, 0, 0 %, 0 %, 1017 MiB, 24.05 W
2026/08/26 21:07:54.967, 1, 0 %, 0 %, 9 MiB, 28.87 W
2026/08/26 21:07:55.467, 0, 0 %, 0 %, 1017 MiB, 24.05 W
2026/08/26 21:07:55.468, 1, 0 %, 0 %, 9 MiB, 28.87 W
2026/08/26 21:07:55.968, 0, 0 %, 0 %, 1017 MiB, 24.06 W
2026/08/26 21:07:55.968, 1, 0 %, 0 %, 9 MiB, 28.83 W
2026/08/26 21:07:56.468, 0, 0 %, 0 %, 1017 MiB, 24.06 W
2026/08/26 21:07:56.468, 1, 0 %, 0 %, 9 MiB, 28.83 W
2026/08/26 21:07:56.969, 0, 0 %, 0 %, 1017 MiB, 24.07 W
2026/08/26 21:07:56.969, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:57.469, 0, 0 %, 0 %, 1017 MiB, 24.07 W
2026/08/26 21:07:57.469, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:57.970, 0, 0 %, 0 %, 1017 MiB, 23.91 W
2026/08/26 21:07:57.970, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:58.470, 0, 0 %, 0 %, 1017 MiB, 23.91 W
2026/08/26 21:07:58.470, 1, 0 %, 0 %, 9 MiB, 28.82 W
2026/08/26 21:07:58.971, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:07:58.971, 1, 0 %, 0 %, 9 MiB, 28.81 W
2026/08/26 21:07:59.471, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:07:59.471, 1, 0 %, 0 %, 9 MiB, 28.81 W
2026/08/26 21:07:59.971, 0, 0 %, 0 %, 1017 MiB, 23.76 W
2026/08/26 21:07:59.972, 1, 0 %, 0 %, 9 MiB, 28.78 W
2026/08/26 21:08:00.472, 0, 0 %, 0 %, 1017 MiB, 23.76 W
2026/08/26 21:08:00.472, 1, 0 %, 0 %, 9 MiB, 28.78 W
2026/08/26 21:08:00.972, 0, 0 %, 0 %, 1017 MiB, 23.84 W
2026/08/26 21:08:00.973, 1, 0 %, 0 %, 9 MiB, 28.75 W
2026/08/26 21:08:01.473, 0, 0 %, 0 %, 1017 MiB, 23.84 W
2026/08/26 21:08:01.473, 1, 0 %, 0 %, 9 MiB, 28.75 W
2026/08/26 21:08:01.973, 0, 0 %, 0 %, 1017 MiB, 23.73 W
2026/08/26 21:08:01.974, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:02.474, 0, 0 %, 0 %, 1017 MiB, 23.73 W
2026/08/26 21:08:02.474, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:02.974, 0, 0 %, 0 %, 1017 MiB, 23.61 W
2026/08/26 21:08:02.974, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:03.475, 0, 0 %, 0 %, 1017 MiB, 23.61 W
2026/08/26 21:08:03.475, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:03.975, 0, 0 %, 0 %, 1017 MiB, 23.77 W
2026/08/26 21:08:03.975, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:04.476, 0, 0 %, 0 %, 1017 MiB, 23.77 W
2026/08/26 21:08:04.476, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:04.976, 0, 0 %, 0 %, 1017 MiB, 23.80 W
2026/08/26 21:08:04.976, 1, 0 %, 0 %, 9 MiB, 28.76 W
2026/08/26 21:08:05.477, 0, 0 %, 0 %, 1017 MiB, 23.80 W
2026/08/26 21:08:05.477, 1, 0 %, 0 %, 9 MiB, 28.76 W
2026/08/26 21:08:05.977, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:08:05.977, 1, 0 %, 0 %, 9 MiB, 28.77 W
2026/08/26 21:08:06.478, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:08:06.478, 1, 0 %, 0 %, 9 MiB, 28.77 W
2026/08/26 21:08:06.978, 0, 0 %, 0 %, 1017 MiB, 23.78 W
2026/08/26 21:08:06.978, 1, 0 %, 0 %, 9 MiB, 28.75 W
2026/08/26 21:08:07.478, 0, 0 %, 0 %, 1017 MiB, 23.78 W
2026/08/26 21:08:07.479, 1, 0 %, 0 %, 9 MiB, 28.75 W
2026/08/26 21:08:07.979, 0, 0 %, 0 %, 1017 MiB, 23.78 W
2026/08/26 21:08:07.979, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:08.479, 0, 0 %, 0 %, 1017 MiB, 23.78 W
2026/08/26 21:08:08.480, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:08.980, 0, 0 %, 0 %, 1017 MiB, 23.70 W
2026/08/26 21:08:08.980, 1, 0 %, 0 %, 9 MiB, 28.76 W
2026/08/26 21:08:09.480, 0, 0 %, 0 %, 1017 MiB, 23.70 W
2026/08/26 21:08:09.481, 1, 0 %, 0 %, 9 MiB, 28.76 W
2026/08/26 21:08:09.981, 0, 0 %, 0 %, 1017 MiB, 23.65 W
2026/08/26 21:08:09.981, 1, 0 %, 0 %, 9 MiB, 28.80 W
2026/08/26 21:08:10.481, 0, 0 %, 0 %, 1017 MiB, 23.65 W
2026/08/26 21:08:10.482, 1, 0 %, 0 %, 9 MiB, 28.80 W
2026/08/26 21:08:10.982, 0, 0 %, 0 %, 1017 MiB, 23.66 W
2026/08/26 21:08:10.982, 1, 0 %, 0 %, 9 MiB, 28.79 W
2026/08/26 21:08:11.482, 0, 0 %, 0 %, 1017 MiB, 23.66 W
2026/08/26 21:08:11.482, 1, 0 %, 0 %, 9 MiB, 28.79 W
2026/08/26 21:08:11.983, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:08:11.983, 1, 0 %, 0 %, 9 MiB, 28.77 W
2026/08/26 21:08:12.483, 0, 0 %, 0 %, 1017 MiB, 23.74 W
2026/08/26 21:08:12.483, 1, 0 %, 0 %, 9 MiB, 28.77 W
2026/08/26 21:08:12.984, 0, 0 %, 0 %, 1017 MiB, 23.73 W
2026/08/26 21:08:12.984, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:13.484, 0, 0 %, 0 %, 1017 MiB, 23.73 W
2026/08/26 21:08:13.484, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:13.985, 0, 0 %, 0 %, 1017 MiB, 23.68 W
2026/08/26 21:08:13.985, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:14.485, 0, 0 %, 0 %, 1017 MiB, 23.68 W
2026/08/26 21:08:14.485, 1, 0 %, 0 %, 9 MiB, 28.72 W
2026/08/26 21:08:14.986, 0, 0 %, 0 %, 1017 MiB, 23.72 W
2026/08/26 21:08:14.986, 1, 0 %, 0 %, 9 MiB, 28.73 W
2026/08/26 21:08:15.486, 0, 0 %, 0 %, 1017 MiB, 23.72 W
